Songnames                        ,Singer                        ,Summary
Get Lucky                        ,Daft Punk featuring Pharrell  ,"With Pharrell on vocal duties and Nile Rodgers on guitar, the helmeted Frenchmen’s biggest non-Weeknd hit is a piece of wipe-clean disco so immaculately crafted you might imagine there was some algebra involved. Like all great pop songs, it throbs with life, but also glows in brilliant neon that's wholly Daft Punk’s."
Dynamite                         ,BTS                           ,"The K-Pop supergroup has taken over the world, and there seems to be no sign of them slowing down. You either get on the train or get run over by it. Luckily, the band’s long-awaited English-language debut delivered, hijacking airwaves and talk shows with its perfectly calibrated bubblegum. Twenty years after NSYNC said ‘bye bye bye’, a new kingdom pop has raised its flag."
Adore You                        ,Harry Styles                  ,"The former One Direction star's solo career has gone many unexpected places, no more so than on his recent, genre-hopping album ‘Fine Line’. And while the funky ‘Watermelon Sugar’ brings the double entendres, ‘Adore You’ is Styles at his most endearing and infectious: a slow-paced, driving, and vocally lovely instant classic. As a bonus, the surreal video finds the hearthrob enamoured with a giant fish... and it's everything. "
No Tears Left to Cry             ,Ariana Grande                 ,"Ariana’s evolution from sugar-sweet pop princess to her generation’s foremost chronicler of the Kama Sutra has been astonishing, if a little much for some pearl-clutching early fans. She hit a universally appealing sweet spot with this 2018 bop, which ascends to the stratosphere with each repetition of ‘pickin’ it up’. As her voice swoops and soars, it seems to confirm the arrival of a global superstar whose talent stands taller than even her highest ponytail. "
Drivers License                  ,Olivia Rodrigo                ,"Pop's current heir apparent exploded onto the scene with this universally gripping, emotionally ripe tale of teenage yearning: a piano ballad with a forlorn melody, a driving backbeat and some of the most bracing vocals in recent pop. Rodrigo wears her love of Taylor Swift on her sleeve, so much so that fans call her the second coming while haters cry ripoff. For what it’s worth, Swift (unlike Courtney Love) is a fan… and rumours continue to swirl about an upcoming collaboration that could rock the pop world to its core. "
Sorry                            ,Justin Bieber                 ,"Taking a hiatus from making music to focus on growing up a little, the Biebs came back with ‘Purpose’ in 2015. ‘Sorry’, the second single from the album, was mixed by Skrillex — and in a stroke of genius and surprising modesty, he excluded himself from the music video and focused on an oft-imitated squad of dancers instead."
Titanium                         ,David Guetta featuring Sia    ,"Empowering, escalating and full of raw power, ‘Titanium’ is what happens when one of the world’s best producers meets one of its most prolific pop writers. Namely: fireworks. Sia may have found further success swinging from chandeliers, but as a vocalist she has never been more explosive than here."
Happy                            ,Pharrell Williams             ,"Only somebody as tuned-in to the pop landscape as Williams could take a throwaway track from a Minions movie and turn it into an enduring ode to being in a great mood. Think of it like this: Three years after ‘Happy’, Justin Timberlake tried to replicate its good vibes for the Trolls soundtrack. But, we're not talking about Justin Timberlake here. Such is the power of a Neptune using his powers for good. "
Hotline Bling                    ,Drake                         ,"Take away the mountain of memes, ignore Drake’s beautiful dad dancing and this pop song would still be a winner for the ages. That delicate, trickling calypso beat effortlessly shrugs off the lover who never calls, transforming a classic tale of ghosting into an eminently danceable revenge song that everyone – ex included – would struggle to resist. No wonder it was literally inescapable for the whole of summer ‘15. "
Levitating                       ,Dua Lipa                      ,"Dua Lipa’s ‘Future Nostalgia’ album is full of bangers, but none is quite as instantly timeless as this throwback jam that pulses with verve, confidence and pure joy. Once she reaches the punchy ‘yeah yeah yeah’ callback, you'll be soaring with her. Go ahead and skip the DaBaby remix… Dua’s got this one on her own."
Milkshake                        ,Kelis                         ,"Kelis’s brag that her ‘milkshake brings all the boys to the yard’ has given this magnetic dancefloor anthem legs. Driven by an all-time great Neptunes beat, it’s a pop-R&B bop every bit as box-fresh as when it dropped (as part of Kelis’s excellent ‘Tasty’ album) in 2003."
Despacito                        ,Luis Fonsi and Daddy Yankee   ,"Nearly inescapable between 2017 and 2018, ‘Despacito’ is one of those songs that became so prevalent that people mistook its ubiquity for annoyance. A few years on, however, the ultra-smooth collision of Latin pop and reggaeton has aged remarkably well from song-of-the-summer status to certifiable classic."
Bootylicious                     ,Destiny's Child               ,"Frankly, we’re still not sure what ‘this jelly’ is, and 20 years on we're still not sure we're ready for it. But what is certain is that the legendary girl group, facing the inevitablility of Beyoncé’s solo ascendance, fired off one last barn-burner to usher in the '00s, and the dance floor was never the same. "
Work It                          ,Missy Elliott                 ,"Missy’s avante-garde approach to pop-infused hip-hop is at its best when she has certified master Timbaland at her side, and no pairing hits with the same mix of chaotic glee, weirdness and pop sensibility as ‘Work It’. Only an artist as nimble as Missy could take a jumbled mass of backwards-masked syllables and make it one the era’s most recognisable choruses... and one of karaoke night’s biggest flexes."
American Boy                     ,Estelle featuring Kanye West  ,"Both sides of the pond get some swagger on this pulsing throwback track occupying the space between disco, hip hop and pop. Estelle’s cockney-infused vocals provide the perfect antidote to Kanye’s braggadocio… no small task, given that the guy is 5-foot-7 of pure ego. Even ‘Ye takes a back seat to Estelle when she’s firing on all cylinders (with an assist by wil.i.am and John Legend on writing duties, natch)."
Since U Been Gone                ,Kelly Clarkson                ,"Simon Cowell may have made Kelly Clarkson a celebrity, but ‘Since U Been Gone’ made her a star. Outside American Idol viewers and the two people who watched From Justin to Kelly, this was the world’s true introduction to Clarkston's mighty lung capacity, and a high point for the early-noughties pop-rock explosion. The gleeful break-up anthem comes off like a glorious cross between Avril Lavigne and ‘I Will Survive’. Fittingly in the flat circle of the pop world, it's now regularly butchered on talent shows worldwide."
Let Me Blow Ya Mind              ,Eve featuring Gwen Stefani    ,"A slinky, swaggering slow jam that meets at the intersection of hip-hop and pop, Eve’s biggest hit is essentially a four-minute not-so-humblebrag about career success. It’s the kind of thing that male rappers do all the time but somehow draws blowback when a woman does it (see also: ‘WAP’). Let the haters feign their dismay. The rest of us will be out on the dance floor and soaking in the silky sass. "
Gangnam Style                    ,Psy                           ,"Psy’s internet-breaking sendup of South Korean excess is absolutely impossible to ignore, try though you may. The first song to reach 1 billion YouTube hits, it’s been parodied, homaged, remade and remixed. Yet it refuses to die. That’s because, against all odds, it rips. Yes, it’s a song you're ashamed to catch yourself dancing to. But guess what? It happens to all of us. "
Crazy                            ,Gnarls Barkley                ,"Long before his vile worldview and accusations of abuse made it all to easy to say ‘Fu*k You’ to Cee-Lo Green, the former Goodie Mob emcee joined forces with producer Danger Mouse to release this slick psychedelic soul curveball. Fifteen years later, it still feels gloriously alien."
